,0102031112301234,01234,031112301234,1112301234,13052031112301234,196,2001,2023,207,41a,50131,64129,a11,account,akademik,akademika,alhasil,alih,ambil,andal,anggap,antarbank,atm,ban,bandar,bank,banking,bca,beban,bidang,bisnis,bonjol,budaya,butuh,camat,canggih,capa,catat,contoh,daftar,daring,daya,dian,dir,dis,dokter,dokumen,dosen,dukung,dunia,ekonom,entitas,fakultas,fasilitas,fib,fisik,format,gedung,giat,gital,global,harap,harapan,iii,ilmu,imam,indeks,industr,informasi,informatika,infrastruktur,inovas,input,intens,internet,ips,isi,istimewa,jal,jateng,jawa,kampus,kanisme,kapasitas,kartu,kenal,khusus,kidul,knik,knolog,kode,komitmen,kompeten,komputer,kota,krs,kuliah,lahir,lajar,lam,langsung,lanta,lembaga,lingkung,ller,lombok,lor,lulus,lulusan144,lurah,luring,mahasiswa,maju,maksimal,mampu,mandir,mang,manusia,mata,mbawa,mbayar,mbelajar,mgg,milih,milik,minat,minimum,mis,misi,muat,muka,muncul,naga,nama,namis,nanggung,nasional,ncermin,ndaftar,ndalam,ndidi,ndri,ngalam,ngambil,ngejar,ngembang,ngetahu,ngganggu,nghadap,nghadir,nghasil,ngunjung,nim,ningkat,nit,njelas,njembatan,nomor,ntaat,nter,ntuk,nugas,nuntas,nus,nuswantoro,nyata,nyelenggara,open,otomatis,padasemester,pakai,paket,pasti,payment,penting,perhati,perkenan,perlu,peroleh,peruntu,peserta,pilih,pjj,pmb,politik,porno,prestas,profesional,program,proses,pts,putus,rancang,rapih,ratur,rdir,reguler,rekening,remid,rencana,resm,respons,rguru,rkait,rkembang,rkembangan,rkomitmen,rkualitas,rkunjung,rokok,rperila,rpustaka,rsih,rstruktur,rtera,rtib,salah,sara,sat,sedia,sehat,seiring,sejarah,sekolah,semarang,semester,seminggu,sesua,siadin,sistem,siswa,situs,sivitas,sks,smt,sop,spp,stud,sumber,swasta,tagih,takar,tantang,tas,tata,tatap,tentu,terampil,timur,tinggal,tingkat,transfer,tugas,tutorial,udinus,ump,unggul,universitas,upaya,upt,utama,validas,virtual,vis,wirausaha
faq_daftar_udinus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.04284321809979311,0.04284321809979311,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.0,0.0,0.08568643619958621,0.0,0.0,0.0,0.0,0.0,0.12852965429937932,0.0,0.0,0.12852965429937932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08568643619958621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08568643619958621,0.0,0.08568643619958621,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.0,0.12852965429937932,0.0,0.0,0.0,0.0,0.08568643619958621,0.08568643619958621,0.08568643619958621,0.0,0.0,0.0,0.04284321809979311,0.04284321809979311,0.0,0.0,0.04284321809979311,0.08568643619958621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.0,0.0,0.17137287239917243,0.0,0.0,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12852965429937932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08568643619958621,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12852965429937932,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04284321809979311,0.0,0.0,0.0,0.0,0.0,0.17137287239917243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
faq_keuangan,0.02053641859328926,0.02053641859328926,0.02053641859328926,0.02053641859328926,0.04107283718657852,0.0,0.0,0.02053641859328926,0.0,0.0,0.0,0.0,0.02053641859328926,0.04107283718657852,0.0,0.0,0.0,0.02053641859328926,0.0,0.0,0.0,0.02053641859328926,0.02053641859328926,0.0,0.0,0.14375493015302482,0.02053641859328926,0.061609255779867776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02053641859328926,0.02053641859328926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061609255779867776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04107283718657852,0.0,0.0,0.0,0.02053641859328926,0.0,0.02053641859328926,0.0,0.0,0.0,0.0,0.061609255779867776,0.0,0.0,0.04107283718657852,0.0,0.0,0.0,0.04107283718657852,0.0,0.0,0.0,0.04107283718657852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061609255779867776,0.0,0.0,0.0,0.0,0.0,0.0,0.08214567437315703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053641859328926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08214567437315703,0.0,0.08214567437315703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02053641859328926,0.0,0.0,0.0,0.0,0.14375493015302482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02053641859328926,0.02053641859328926,0.0,0.0,0.0,0.02053641859328926,0.02053641859328926,0.0,0.0,0.0,0.02053641859328926,0.02053641859328926,0.0,0.02053641859328926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02053641859328926,0.04107283718657852,0.28750986030604964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02053641859328926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061609255779867776,0.02053641859328926,0.02053641859328926,0.0,0.0,0.0,0.02053641859328926,0.0,0.0,0.02053641859328926,0.0,0.0,0.0,0.1026820929664463,0.0,0.0,0.0,0.02053641859328926,0.0,0.0,0.0,0.0,0.0,0.0,0.04107283718657852,0.02053641859328926,0.0,0.04107283718657852,0.0,0.0,0.0,0.0,0.0,0.0,0.02053641859328926,0.04107283718657852,0.0,0.0
faq_krs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31061333122350004,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20707555414900003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0
faq_udinus_profil,0.0,0.0,0.0,0.0,0.0,0.11295030226309093,0.22590060452618185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22590060452618185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11295030226309093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11295030226309093,0.0,0.0,0.0,0.11295030226309093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11295030226309093,0.0,0.11295030226309093,0.0,0.0,0.0,0.0,0.22590060452618185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11295030226309093,0.11295030226309093,0.0,0.0,0.0,0.11295030226309093,0.0,0.0,0.0,0.0,0.11295030226309093,0.0,0.11295030226309093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11295030226309093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22590060452618185,0.0,0.0,0.22590060452618185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kurikulum_teknik_informatika,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.08718970701010527,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.1307845605151579,0.0,0.043594853505052635,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.1307845605151579,0.043594853505052635,0.0,0.043594853505052635,0.043594853505052635,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1307845605151579,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17437941402021054,0.043594853505052635,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.3051639745353684,0.1307845605151579,0.0,0.0,0.08718970701010527,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.043594853505052635,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.043594853505052635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profil_ekonomi&bisnis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.31061333122350004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20707555414900003,0.0,0.31061333122350004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.10353777707450001,0.10353777707450001,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.10353777707450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profil_fib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31061333122350004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.31061333122350004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15530666561175002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profil_fk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.06212266624470001,0.1863679987341,0.0,0.0,0.0,0.0,0.0,0.0,0.1863679987341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.06212266624470001,0.0,0.06212266624470001,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.06212266624470001,0.06212266624470001,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.06212266624470001,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24849066497880004,0.12424533248940002,0.06212266624470001,0.12424533248940002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.0,0.0,0.0,0.0,0.0,0.06212266624470001,0.12424533248940002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profil_fkes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.19879253198304003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29818879797456005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.0,0.0,0.0,0.0,0.09939626599152002,0.0,0.0,0.09939626599152002,0.09939626599152002,0.0,0.0,0.0,0.0,0.09939626599152002,0.09939626599152002
profil_ilkom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.08015827902541936,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.24047483707625808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.08015827902541936,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.16031655805083872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015827902541936,0.08015827902541936,0.0,0.0,0.08015827902541936,0.0,0.0,0.0,0.08015827902541936
